City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,slave lake,55.2834,-114.769,57.18,10,0,11.5,CA,1713649869
84,whitehorse,60.7161,-135.0538,56.17,16,0,8.05,CA,1713650142
85,beloyarskiy,63.7119,66.6722,23.0,97,100,1.99,RU,1713650144
86,grootfontein,-19.5667,18.1167,67.57,42,7,3.44,NA,1713650146
87,howrah,22.5892,88.3103,86.0,89,20,9.22,IN,1713650147
88,urangan,-25.3,152.9,71.24,77,96,16.6,AU,1713650150
89,fale old settlement,-9.3852,-171.2468,85.19,74,38,13.73,TK,1713650151
90,formosa do rio preto,-11.0483,-45.1931,79.45,68,98,2.13,BR,1713650153
91,chonchi,-42.6128,-73.8092,51.12,87,58,1.97,CL,1713650154
92,muynoq,43.7683,59.0214,65.5,55,100,11.23,UZ,1713650155
93,utrik,11.2278,169.8474,81.32,78,97,16.11,MH,1713650156
94,mirnyy,62.5353,113.9611,31.23,99,100,8.99,RU,1713649893
95,hermanus,-34.4187,19.2345,63.81,91,19,8.77,ZA,1713650159
96,el granada,37.5027,-122.4694,77.81,59,0,17.27,US,1713650160
97,uturoa,-16.7333,-151.4333,83.57,73,53,17.78,PF,1713650161
98,pangody,65.85,74.4859,5.97,91,100,6.58,RU,1713650126
99,yaren,-0.5472,166.916,82.63,75,95,2.73,NR,1713650165
100,edinburgh of the seven seas,-37.0676,-12.3116,57.65,69,100,4.21,SH,1713650166
101,minzhu,43.7286,127.3447,43.54,82,3,2.01,CN,1713650167
102,mejit,10.2753,170.8646,81.46,80,68,19.8,MH,1713650169
103,pisco,-13.7,-76.2167,78.85,61,0,13.8,PE,1713650170
104,antsiranana,-12.2787,49.2917,77.95,84,100,10.69,MG,1713650172
105,sabang,5.8933,95.3214,84.4,75,71,16.78,ID,1713650174
106,igarka,67.4667,86.5833,-6.99,100,87,5.01,RU,1713650176
107,kodinsk,58.6881,99.1844,36.45,98,100,6.33,RU,1713650177
108,vila franca do campo,37.7167,-25.4333,64.89,99,100,4.32,PT,1713650178
109,udachny,66.4167,112.4,29.44,95,100,6.85,RU,1713650180
